dow	hod	weight	cum_weight
0	0	16.962	16.962
0	1	11.613	28.575
0	2	7.488	36.063
0	3	5.07	41.133
0	4	3.275	44.408
0	5	2.542	46.95
0	6	5.211	52.161
0	7	11.002	63.163
0	8	21.691	84.854
0	9	37.169	122.023
0	10	54.573	176.596
0	11	68.572	245.168
0	12	79.417	324.585
0	13	84.863	409.448
0	14	87.266	496.714
0	15	88.573	585.287
0	16	88.292	673.579
0	17	82.048	755.627
0	18	73.091	828.718
0	19	58.42	887.138
0	20	43.025	930.163
0	21	31.037	961.2
0	22	23.522	984.722
0	23	15.278	1000
1	0	7.246	7.246
1	1	3.817	11.063
1	2	2.265	13.328
1	3	1.469	14.797
1	4	1.798	16.595
1	5	6.895	23.49
1	6	24.378	47.868
1	7	50.313	98.181
1	8	84.278	182.459
1	9	61.375	243.834
1	10	38.116	281.95
1	11	38.708	320.658
1	12	46.648	367.306
1	13	49.346	416.652
1	14	51.428	468.08
1	15	55.694	523.774
1	16	68.571	592.345
1	17	106.435	698.78
1	18	106.119	804.899
1	19	73.756	878.655
1	20	49.402	928.057
1	21	33.594	961.651
1	22	23.981	985.632
1	23	14.368	1000
2	0	7.034	16.962
2	1	3.585	28.575
2	2	2.057	36.063
2	3	1.316	41.133
2	4	1.785	44.408
2	5	7.578	46.95
2	6	27.11	52.161
2	7	55	63.163
2	8	92.474	84.854
2	9	65.605	122.023
2	10	38.838	176.596
2	11	38.033	245.168
2	12	44.419	324.585
2	13	46.328	409.448
2	14	47.684	496.714
2	15	51.654	585.287
2	16	65.053	673.579
2	17	103.511	755.627
2	18	104.238	828.718
2	19	71.728	887.138
2	20	48.591	930.163
2	21	34.824	961.2
2	22	25.802	984.722
2	23	15.756	1000
3	0	8.086	16.962
3	1	4.164	28.575
3	2	2.377	36.063
3	3	1.52	41.133
3	4	1.842	44.408
3	5	7.479	46.95
3	6	26.618	52.161
3	7	54.81	63.163
3	8	93.161	84.854
3	9	66.831	122.023
3	10	39.674	176.596
3	11	39.1	245.168
3	12	46.049	324.585
3	13	47.555	409.448
3	14	49.048	496.714
3	15	52.857	585.287
3	16	65.077	673.579
3	17	101.003	755.627
3	18	100.535	828.718
3	19	69.73	887.138
3	20	47.053	930.163
3	21	33.756	961.2
3	22	25.484	984.722
3	23	16.191	1000
4	0	8.769	16.962
4	1	4.409	28.575
4	2	2.558	36.063
4	3	1.623	41.133
4	4	1.861	44.408
4	5	7.015	46.95
4	6	25.278	52.161
4	7	52.749	63.163
4	8	90.122	84.854
4	9	65.876	122.023
4	10	39.758	176.596
4	11	39.203	245.168
4	12	46.98	324.585
4	13	48.61	409.448
4	14	50.221	496.714
4	15	54.126	585.287
4	16	66.167	673.579
4	17	100.747	755.627
4	18	99.961	828.718
4	19	69.377	887.138
4	20	46.733	930.163
4	21	33.566	961.2
4	22	26.383	984.722
4	23	17.908	1000
5	0	10.283	16.962
5	1	5.47	28.575
5	2	3.225	36.063
5	3	2.041	41.133
5	4	2.046	44.408
5	5	6.55	46.95
5	6	22.89	52.161
5	7	47.436	63.163
5	8	82.809	84.854
5	9	64.16	122.023
5	10	41.235	176.596
5	11	42.574	245.168
5	12	50.993	324.585
5	13	54.929	409.448
5	14	58.873	496.714
5	15	64.113	585.287
5	16	77.843	673.579
5	17	99.305	755.627
5	18	86.722	828.718
5	19	61.18	887.138
5	20	41.036	930.163
5	21	29.725	961.2
5	22	24.789	984.722
5	23	19.775	1000
6	0	15.024	16.962
6	1	9.634	28.575
6	2	6.298	36.063
6	3	4.171	41.133
6	4	2.815	44.408
6	5	2.639	46.95
6	6	6.295	52.161
6	7	13.801	63.163
6	8	26.176	84.854
6	9	42.162	122.023
6	10	56.881	176.596
6	11	70.074	245.168
6	12	79.263	324.585
6	13	83.807	409.448
6	14	85.469	496.714
6	15	86.887	585.287
6	16	84.546	673.579
6	17	78.411	755.627
6	18	69.152	828.718
6	19	56.468	887.138
6	20	41.218	930.163
6	21	31.052	961.2
6	22	26.259	984.722
6	23	21.496	1000
