start_station_id	end_station_id	duration	weight	cum_weight
2006	2006	45.4	23.606	23.606
281	281	51.9	11.57	35.176
514	426	23.7	9.989	45.165
3203	3186	6	9.97	55.135
435	509	5.1	9.811	64.946
499	499	43.7	9.598	74.544
387	387	32.5	9.205	83.749
432	3263	4.5	8.646	92.395
519	492	8.5	8.322	100.717
3423	3423	42	8.082	108.799
514	514	31.3	7.901	116.7
426	514	24	7.679	124.379
426	426	27.4	7.44	131.819
435	462	6.8	7.325	139.144
2006	3282	25.6	7.286	146.43
3186	3203	6.2	7.133	153.563
519	491	7.3	6.98	160.543
462	453	3.8	6.919	167.462
519	477	8.1	6.512	173.974
478	490	7.9	6.31	180.284
3137	3137	33.2	6.223	186.507
3165	3165	36.7	6.034	192.541
3209	3186	5.5	6.026	198.567
258	324	4.9	5.963	204.53
3093	460	6.3	5.925	210.455
546	519	5.7	5.916	216.371
3142	3141	3.8	5.883	222.254
494	458	5.8	5.806	228.06
460	3093	5.4	5.804	233.864
462	435	6.9	5.728	239.592
435	453	5	5.689	245.281
519	498	7.6	5.648	250.929
3256	426	9.7	5.642	256.571
445	293	6.8	5.544	262.115
459	426	17.9	5.516	267.631
363	3002	5.4	5.507	273.138
502	307	4.8	5.497	278.635
458	494	5	5.495	284.13
3194	3195	4.6	5.463	289.593
217	387	31.7	5.462	295.055
239	270	5.2	5.431	300.486
426	358	12.1	5.43	305.916
281	2006	52.1	5.411	311.327
435	482	4.7	5.408	316.735
472	528	4	5.39	322.125
426	2008	13.2	5.382	327.507
3182	3182	46.5	5.369	332.876
514	3256	21.1	5.363	338.239
281	499	26.9	5.35	343.589
3093	2002	3.9	5.291	348.88
311	502	6	5.291	354.171
3002	2008	7.1	5.288	359.459
217	217	34.4	5.284	364.743
529	478	5.5	5.208	369.951
3002	363	5.6	5.205	375.156
2008	3002	7.2	5.193	380.349
509	435	5.9	5.171	385.52
3118	3119	6.6	5.166	390.686
491	519	8.3	5.129	395.815
388	494	4	5.115	400.93
358	426	11.5	5.113	406.043
3002	427	11.4	5.106	411.149
359	477	8.8	5.106	416.255
426	3256	9.8	5.101	421.356
2006	3137	22.8	5.096	426.452
307	502	7.5	5.094	431.546
363	327	7.8	5.081	436.627
477	519	8.9	5.034	441.661
402	497	4.5	5.03	446.691
2002	3093	4.1	5.01	451.701
3254	3254	51.8	4.994	456.695
505	519	8.2	4.979	461.674
492	519	9	4.964	466.638
2008	327	8.9	4.938	471.576
502	311	4.8	4.894	476.47
445	285	8.4	4.865	481.335
2006	3143	28.1	4.854	486.189
453	462	4.9	4.852	491.041
398	217	18.5	4.843	495.884
519	546	6	4.831	500.715
293	445	6.8	4.83	505.545
481	3093	3.7	4.781	510.326
2006	3165	27	4.748	515.074
490	519	9.9	4.736	519.81
426	459	17.9	4.732	524.542
405	426	15.2	4.729	529.271
3119	3118	5.7	4.727	533.998
285	335	4.4	4.726	538.724
432	293	6	4.663	543.387
3002	304	9.6	4.629	548.016
478	529	5.8	4.628	552.644
3195	3194	5.5	4.62	557.264
3182	3254	33.1	4.616	561.88
3254	3182	31.5	4.585	566.465
3270	3186	4.9	4.584	571.049
387	232	29.2	4.562	575.611
270	324	5.7	4.56	580.171
285	445	8.2	4.494	584.665
3213	3186	4	4.493	589.158
151	293	7.2	4.487	593.645
244	324	7.3	4.464	598.109
3119	3124	8.3	4.453	602.562
3430	3086	3.9	4.441	607.003
321	387	28.9	4.42	611.423
2008	426	13.4	4.415	615.838
447	480	4.1	4.408	620.246
504	545	4.3	4.407	624.653
3192	3192	68.5	4.4	629.053
519	472	5.9	4.39	633.443
459	470	6.1	4.385	637.828
462	402	9.7	4.371	642.199
2006	499	27.4	4.368	646.567
3263	317	5.6	4.36	650.927
366	239	6	4.356	655.283
499	530	6.6	4.333	659.616
398	398	36.6	4.321	663.937
293	497	6	4.318	668.255
426	405	15.9	4.317	672.572
448	490	5.1	4.313	676.885
3163	3163	37.3	4.292	681.177
3186	3209	5.7	4.276	685.453
402	519	10.2	4.27	689.723
116	459	5.6	4.256	693.979
472	519	5.4	4.256	698.235
3263	432	5.3	4.251	702.486
293	432	6.3	4.235	706.721
3167	3171	5	4.234	710.955
426	387	8.7	4.231	715.186
523	519	8.2	4.22	719.406
490	448	5.7	4.196	723.602
217	398	17.7	4.194	727.796
490	478	8.7	4.19	731.986
3165	2006	18.3	4.189	736.175
3269	3186	7.6	4.185	740.36
270	239	5	4.18	744.54
317	3263	5.9	4.16	748.7
504	297	4.2	4.156	752.856
402	545	6.7	4.154	757.01
519	379	9.6	4.151	761.161
3282	3282	35.7	4.148	765.309
327	2008	8.9	4.144	769.453
304	3002	8.9	4.131	773.584
504	487	4.9	4.119	777.703
3267	3183	5.5	4.117	781.82
281	3282	28.3	4.114	785.934
293	285	5	4.114	790.048
327	327	30	4.108	794.156
3124	3119	4.6	4.106	798.262
239	366	8.6	4.093	802.355
2012	379	10.6	4.086	806.441
3351	3318	4.8	4.086	810.527
2006	3374	29.6	4.085	814.612
494	388	5.8	4.083	818.695
3279	3186	3.6	4.062	822.757
241	324	3.1	4.055	826.812
3374	3374	35.5	4.052	830.864
3276	3186	5.7	4.049	834.913
453	459	6.2	4.045	838.958
315	259	6.7	4.045	843.003
459	435	8.6	4.043	847.046
3165	3137	18.5	4.024	851.07
472	536	5	4.012	855.082
519	490	10.4	4.011	859.093
499	281	17	4.006	863.099
519	402	10.8	4.005	867.104
3256	514	20.5	3.994	871.098
379	519	9.8	3.976	875.074
435	459	7.5	3.974	879.048
435	470	4.9	3.97	883.018
327	363	8.2	3.934	886.952
326	285	6.4	3.922	890.874
499	422	7	3.891	894.765
391	157	7.4	3.867	898.632
3002	3002	27.2	3.855	902.487
347	426	9.7	3.853	906.34
3141	3140	5.2	3.851	910.191
2008	2008	28.8	3.842	914.033
479	490	7.5	3.841	917.874
504	497	6.6	3.838	921.712
457	457	41	3.83	925.542
3278	3186	5.5	3.804	929.346
383	383	22.2	3.795	933.141
359	492	10.8	3.784	936.925
350	502	4.8	3.782	940.707
476	379	7.1	3.779	944.486
497	2003	6.3	3.776	948.262
3349	3349	37.6	3.77	952.032
477	478	6.2	3.762	955.794
465	519	6.6	3.744	959.538
3150	3147	4	3.735	963.273
497	116	6.6	3.705	966.978
368	127	5.6	3.696	970.674
3186	3276	5.2	3.686	974.36
435	505	6.9	3.679	978.039
3086	3430	3.7	3.671	981.71
3202	3203	8.4	3.669	985.379
497	435	6.2	3.668	989.047
3112	3016	6.9	3.654	992.701
368	435	8.3	3.653	996.354
3256	2008	17.9	3.646	1000
